url,titulo,preco,vendas,teste,marca
https://produto.mercadolivre.com.br/MLB-1670316318-furadeira-de-impacto-700w-goodyear-mandril-12pol-13mm-_JM?searchVariation=84176652541#searchVariation=84176652541&position=41&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira De Impacto 700w Goodyear Mandril 1/2pol 13mm,257,5,12,Goodyear
https://produto.mercadolivre.com.br/MLB-2005761278-furadeira-dewalt-dcd996-20v-2-baterias-2ah-xr-carregador-_JM?searchVariation=173566117500#searchVariation=173566117500&position=44&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Dewalt Dcd996 20v + 2 Baterias 2ah Xr + Carregador,2.312,8,14,DeWalt
https://produto.mercadolivre.com.br/MLB-1977691180-furadeira-paraf-imp-brushless-atomic-20v-max-dewalt-dcd709d2-_JM?searchVariation=94006644094#searchVariation=94006644094&position=43&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Paraf Imp Brushless Atomic 20v Max Dewalt Dcd709d2,1.470,11,14,DeWalt
https://produto.mercadolivre.com.br/MLB-1978417812-furadeira-parafusadeira-38-12v-maleta-ld12sc-31-acessorios-_JM?searchVariation=94108390630#searchVariation=94108390630&position=42&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Parafusadeira 3/8 12v Maleta Ld12sc 31 Acessórios,339,3,14,Black+Decker
https://produto.mercadolivre.com.br/MLB-1771007186-furadeira-parafusadeira-impacto-20v-biv-dcd776lc1-dewalt-_JM?searchVariation=83046610473#searchVariation=83046610473&position=49&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Parafusadeira Impacto 20v Biv Dcd776lc1 Dewalt,1.040,1,14,DeWalt
https://produto.mercadolivre.com.br/MLB-1581873300-furadeira-eletrica-reversivel-bosch-38-350w-gbm-6-re-_JM?searchVariation=82077409818#searchVariation=82077409818&position=41&search_layout=stack&type=item&tracking_id=071b7084-9e2b-4805-86ee-90aa5cf27f96,Furadeira Eletrica Reversível Bosch 3/8 350w Gbm 6 Re ,399,3,14,Bosch
https://produto.mercadolivre.com.br/MLB-1357887545-kit-paraffur-imp-gsb-e-chave-impac-gdx180li-bosch-_JM#position=47&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Kit Paraf./fur. Imp. Gsb E Chave Impac Gdx180li Bosch,1.642,2,15,Bosch
https://produto.mercadolivre.com.br/MLB-1820983519-furadeira-parafusadeira-bateria-12v-profissional-_JM?searchVariation=78571832053#searchVariation=78571832053&position=1&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira Parafusadeira Bateria  12v Profissional,296,38,15,Einhell
https://produto.mercadolivre.com.br/MLB-1817792652-furadeira-parafusadeira-de-impacto-12-dewalt-710w-maleta-_JM?searchVariation=78224342746#searchVariation=78224342746&position=48&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Furadeira Parafusadeira De Impacto 1/2 Dewalt 710w + Maleta ,448,15,15,DeWalt
https://produto.mercadolivre.com.br/MLB-2111956685-mini-furadeira-manual-25-brocas-de-alta-preciso-inclusas-_JM?searchVariation=173999726539#searchVariation=173999726539&position=45&search_layout=stack&type=item&tracking_id=9bc7c9e7-6701-4c02-a68d-8ab23d6ab0be,Mini Furadeira Manual + 25 Brocas De Alta Precisão Inclusas,49,9,15,Steel
